iter	Passed	Remaining
0	162	48487
1	165	24722
2	169	16767
3	173	12816
4	176	10419
5	182	8927
6	185	7780
7	189	6917
8	192	6229
9	197	5716
10	201	5305
11	205	4933
12	209	4616
13	213	4356
14	216	4109
15	219	3896
16	223	3715
17	226	3552
18	230	3410
19	233	3274
20	236	3145
21	239	3028
22	243	2932
23	246	2838
24	249	2749
25	253	2670
26	256	2594
27	260	2531
28	265	2477
29	268	2418
30	273	2369
31	278	2331
32	282	2289
33	286	2241
34	290	2200
35	295	2164
36	299	2125
37	302	2084
38	307	2056
39	310	2020
40	314	1984
41	318	1953
42	322	1929
43	327	1902
44	330	1875
45	334	1848
46	343	1850
47	348	1831
48	355	1818
49	360	1802
50	365	1782
51	370	1766
52	374	1747
53	378	1725
54	382	1703
55	387	1688
56	391	1668
57	395	1648
58	402	1642
59	406	1625
60	409	1605
61	413	1586
62	416	1568
63	420	1551
64	424	1534
65	428	1517
66	433	1507
67	436	1490
68	440	1473
69	443	1458
70	449	1448
71	452	1433
72	456	1421
73	460	1407
74	465	1397
75	470	1385
76	473	1372
77	477	1360
78	483	1352
79	487	1341
80	491	1328
81	495	1317
82	501	1310
83	504	1297
84	507	1284
85	511	1272
86	516	1263
87	519	1250
88	522	1239
89	525	1227
90	531	1219
91	534	1208
92	538	1197
93	541	1186
94	545	1177
95	548	1166
96	552	1155
97	555	1144
98	558	1134
99	562	1124
100	565	1113
101	568	1103
102	572	1094
103	577	1088
104	580	1077
105	583	1067
106	585	1056
107	588	1046
108	592	1038
109	595	1028
110	598	1019
111	601	1010
112	606	1002
113	610	996
114	613	986
115	616	977
116	619	969
117	624	963
118	627	954
119	632	948
120	635	939
121	639	933
122	642	925
123	646	917
124	650	910
125	654	903
126	658	897
127	662	889
128	666	883
129	670	876
130	675	870
131	680	865
132	684	858
133	688	853
134	693	847
135	697	840
136	700	833
137	705	828
138	710	822
139	714	816
140	719	811
141	724	806
142	728	799
143	733	794
144	738	789
145	743	783
146	746	777
147	750	771
148	755	765
149	760	760
150	763	753
151	767	747
152	772	741
153	775	735
154	779	729
155	783	723
156	788	717
157	791	711
158	794	704
159	798	698
160	802	692
161	806	686
162	809	680
163	812	674
164	831	680
165	836	674
166	840	669
167	843	662
168	846	656
169	849	649
170	852	643
171	855	636
172	858	630
173	862	624
174	867	619
175	870	613
176	874	607
177	877	601
178	882	596
179	885	590
180	889	584
181	894	579
182	899	574
183	903	569
184	906	563
185	910	557
186	913	552
187	917	546
188	920	540
189	925	535
190	931	531
191	934	525
192	938	520
193	942	515
194	947	509
195	951	505
196	957	500
197	964	496
198	969	491
199	974	487
200	980	482
201	986	478
202	991	473
203	996	469
204	1000	463
205	1004	458
206	1008	453
207	1015	449
208	1019	443
209	1023	438
210	1029	434
211	1033	429
212	1037	423
213	1040	418
214	1046	413
215	1051	408
216	1055	403
217	1061	399
218	1065	394
219	1069	388
220	1075	384
221	1081	380
222	1085	374
223	1088	369
224	1095	365
225	1102	360
226	1109	356
227	1114	352
228	1120	347
229	1128	343
230	1134	338
231	1141	334
232	1146	329
233	1150	324
234	1155	319
235	1162	315
236	1171	311
237	1179	307
238	1183	302
239	1189	297
240	1197	293
241	1202	288
242	1209	283
243	1216	279
244	1228	275
245	1234	271
246	1245	267
247	1252	262
248	1262	258
249	1272	254
250	1281	250
251	1290	245
252	1296	240
253	1303	236
254	1311	231
255	1319	226
256	1326	221
257	1332	216
258	1341	212
259	1349	207
260	1357	202
261	1365	198
262	1374	193
263	1379	188
264	1388	183
265	1393	178
266	1403	173
267	1408	168
268	1414	163
269	1421	157
270	1427	152
271	1437	147
272	1442	142
273	1452	137
274	1457	132
275	1465	127
276	1471	122
277	1477	116
278	1485	111
279	1490	106
280	1498	101
281	1504	96
282	1509	90
283	1518	85
284	1522	80
285	1531	74
286	1536	69
287	1540	64
288	1548	58
289	1552	53
290	1556	48
291	1566	42
292	1573	37
293	1580	32
294	1586	26
295	1597	21
296	1603	16
297	1613	10
298	1619	5
299	1628	0
